Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","C1000uF","CP_Elec_8x10.5",4.550000,-2.200000,180.000000,top
"D1","SS24","DIOM5336X265N",4.550000,-1.300000,0.000000,top
"D2","SS24","DIOM5336X265N",4.550000,-1.050000,0.000000,top
"D3","SS24","DIOM5336X265N",4.550000,-0.850000,0.000000,top
"IC1","74HC125","SOIC127P600X175-14N",4.550000,-1.750000,0.000000,top
