Comment,Designator,Footprint,LCSC
"C1000uF","C1","SMD-ECAP-8x10","C134755"
"SS24","D1,D2,D3","SS24","C181203"
"4A","F1","Fuse:64600001003","C206887"
"74HC125","IC1","SOIC-14_3.9x8.7x1.27P","C5598"
"Screw_Terminal_01x02","J1","CONN-TH_P5.08_1715721","C480516"
"Screw_Terminal_01x03","X1","CONN-TH_3P-P5.00_KF126-5.0-3P","C474901"
